"primary_type","_c1","rank"
"THEFT","1228238","1"
"BATTERY","1083514","2"
"CRIMINAL DAMAGE","683325","3"
"NARCOTICS","670304","4"
"OTHER OFFENSE","367016","5"
"ASSAULT","360683","6"
"BURGLARY","348494","7"
"MOTOR VEHICLE THEFT","281608","8"
"ROBBERY","221958","9"
"DECEPTIVE PRACTICE","203135","10"
"CRIMINAL TRESPASS","173512","11"
"PROSTITUTION","66072","12"
"WEAPONS VIOLATION","57477","13"
"PUBLIC PEACE VIOLATION","43262","14"
"OFFENSE INVOLVING CHILDREN","37819","15"
"CRIM SEXUAL ASSAULT","21952","16"
"SEX OFFENSE","21716","17"
"GAMBLING","13844","18"
"LIQUOR LAW VIOLATION","13382","19"
"INTERFERENCE WITH PUBLIC OFFICER","11843","20"
"ARSON","9816","21"
"HOMICIDE","7376","22"
"KIDNAPPING","6102","23"
"INTIMIDATION","3491","24"
"STALKING","2815","25"
"OBSCENITY","351","26"
"PUBLIC INDECENCY","127","27"
"OTHER NARCOTIC VIOLATION","108","28"
"CONCEALED CARRY LICENSE VIOLATION","45","29"
"NON-CRIMINAL","36","30"
"NON - CRIMINAL","32","31"
"RITUALISM","23","32"
"HUMAN TRAFFICKING","17","33"
"NON-CRIMINAL (SUBJECT SPECIFIED)","3","34"
"DOMESTIC VIOLENCE","1","35"
