"address","_c1","rank"
"100XX W OHARE ST","14393","1"
"001XX N STATE ST","9528","2"
"076XX S CICERO AVE","8419","3"
"008XX N MICHIGAN AVE","6859","4"
"0000X N STATE ST","6684","5"
"023XX S STATE ST","5191","6"
"063XX S DR MARTIN LUTHER KING JR DR","4442","7"
"064XX S DR MARTIN LUTHER KING JR DR","4227","8"
"022XX S STATE ST","3961","9"
"001XX W 87TH ST","3619","10"
"008XX N STATE ST","3577","11"
"005XX E BROWNING AVE","3301","12"
"0000X W TERMINAL ST","3207","13"
"012XX S WABASH AVE","3168","14"
"009XX W BELMONT AVE","3044","15"
"057XX S CICERO AVE","3017","16"
"011XX W WILSON AVE","3000","17"
"0000X W 95TH ST","2856","18"
"040XX W LAKE ST","2829","19"
"002XX W 87TH ST","2811","20"
"029XX S STATE ST","2802","21"
"012XX N BURLING ST","2721","22"
"038XX W ROOSEVELT RD","2711","23"
"006XX N MICHIGAN AVE","2655","24"
"021XX E 71ST ST","2624","25"
"046XX W NORTH AVE","2622","26"
"075XX S STONY ISLAND AVE","2611","27"
"071XX S JEFFERY BLVD","2607","28"
"112XX S WALLACE ST","2579","29"
"046XX N BROADWAY","2565","30"
"066XX S HALSTED ST","2561","31"
"085XX S COTTAGE GROVE AVE","2554","32"
"065XX S DR MARTIN LUTHER KING JR DR","2529","33"
"016XX W HOWARD ST","2513","34"
"005XX N MICHIGAN AVE","2477","35"
"051XX W MADISON ST","2466","36"
"032XX W ROOSEVELT RD","2456","37"
"007XX N MICHIGAN AVE","2448","38"
"027XX S DEARBORN ST","2442","39"
"026XX N ELSTON AVE","2401","40"
"0000X W DIVISION ST","2397","41"
"0000X S STATE ST","2387","42"
"017XX W HOWARD ST","2386","43"
"079XX S HALSTED ST","2362","44"
"003XX N CENTRAL AVE","2300","45"
"051XX S PULASKI RD","2278","46"
"044XX S FEDERAL ST","2273","47"
"035XX N CLARK ST","2239","48"
"0000X W 79TH ST","2222","49"
"035XX S RHODES AVE","2212","50"
"006XX W DIVISION ST","2211","51"
"063XX S ASHLAND AVE","2191","52"
"005XX W MADISON ST","2187","53"
"006XX W HARRISON ST","2186","54"
"024XX S STATE ST","2181","55"
"009XX N MICHIGAN AVE","2161","56"
"012XX S ASHLAND AVE","2158","57"
"002XX S STATE ST","2157","58"
"0000X W WASHINGTON ST","2151","59"
"103XX S ELIZABETH ST","2114","60"
"061XX S COTTAGE GROVE AVE","2111","61"
"036XX S FEDERAL ST","2104","62"
"001XX W LAKE ST","2075","63"
"012XX N CLARK ST","2058","64"
"048XX W NORTH AVE","2042","65"
"021XX E 87TH ST","2032","66"
"004XX W DIVISION ST","2026","67"
"034XX S DR MARTIN LUTHER KING JR DR","1997","68"
"079XX S COTTAGE GROVE AVE","1972","69"
"062XX S DR MARTIN LUTHER KING JR DR","1956","70"
"052XX W MADISON ST","1954","71"
"040XX W MADISON ST","1951","72"
"013XX S CANAL ST","1940","73"
"079XX S ASHLAND AVE","1939","74"
"015XX N MILWAUKEE AVE","1928","75"
"078XX S SOUTH SHORE DR","1918","76"
"033XX W FILLMORE ST","1909","77"
"039XX W MADISON ST","1904","78"
"062XX S STONY ISLAND AVE","1903","79"
"031XX N CLARK ST","1902","80"
"002XX S CANAL ST","1882","81"
"0000X E GRAND AVE","1881","82"
"014XX N SEDGWICK ST","1858","83"
"002XX N PINE AVE","1858","83"
"001XX E WACKER DR","1857","85"
"042XX W MADISON ST","1856","86"
"062XX S COTTAGE GROVE AVE","1845","87"
"006XX E GRAND AVE","1845","87"
"031XX S ASHLAND AVE","1838","89"
"029XX W HARRISON ST","1819","90"
"037XX W CHICAGO AVE","1809","91"
"078XX S HALSTED ST","1793","92"
"062XX S ASHLAND AVE","1786","93"
"027XX S STATE ST","1772","94"
"077XX S SOUTH SHORE DR","1761","95"
"005XX N STATE ST","1754","96"
"004XX S STATE ST","1752","97"
"061XX S WESTERN AVE","1745","98"
"031XX W MADISON ST","1744","99"
"047XX W IRVING PARK RD","1729","100"
"007XX E 79TH ST","1717","101"
"0000X E JACKSON BLVD","1715","102"
"008XX E 79TH ST","1712","103"
"051XX W CHICAGO AVE","1706","104"
"0000X E ROOSEVELT RD","1706","104"
"068XX S NORMAL BLVD","1705","106"
"029XX W MADISON ST","1694","107"
"0000X W HUBBARD ST","1674","108"
"023XX W JACKSON BLVD","1656","109"
"013XX N HUDSON AVE","1655","110"
"045XX N SHERIDAN RD","1655","110"
"024XX W MONROE ST","1646","112"
"039XX W ROOSEVELT RD","1642","113"
"061XX S DR MARTIN LUTHER KING JR DR","1638","114"
"0000X W 87TH ST","1636","115"
"074XX S SOUTH SHORE DR","1631","116"
"055XX W NORTH AVE","1630","117"
"087XX S BURLEY AVE","1620","118"
"008XX E 103RD ST","1615","119"
"003XX S CICERO AVE","1614","120"
"064XX S LOWE AVE","1614","120"
"062XX S WESTERN AVE","1611","122"
"0000X W 69TH ST","1601","123"
"011XX S CANAL ST","1599","124"
"029XX S DEARBORN ST","1598","125"
"006XX N CLARK ST","1594","126"
"032XX W ADAMS ST","1594","126"
"005XX W DIVISION ST","1593","128"
"002XX N MICHIGAN AVE","1592","129"
"053XX S PULASKI RD","1588","130"
"034XX W MADISON ST","1585","131"
"096XX S MICHIGAN AVE","1585","131"
"020XX N MILWAUKEE AVE","1580","133"
"011XX S STATE ST","1580","133"
"054XX S WENTWORTH AVE","1570","135"
"036XX S STATE ST","1563","136"
"060XX N BROADWAY","1562","137"
"030XX S DR MARTIN LUTHER KING JR DR","1560","138"
"011XX N WESTERN AVE","1560","138"
"031XX W HARRISON ST","1552","140"
"022XX W JACKSON BLVD","1550","141"
