"iucr","_c1","rank"
"1811","30","1"
"0486","25","2"
"2027","25","2"
"2024","16","4"
"0460","13","5"
"0430","8","6"
"0560","8","6"
"2092","7","8"
"1310","7","8"
"0820","7","8"
"031A","6","11"
"0840","6","11"
"0810","6","11"
"1661","6","11"
"2017","6","11"
"041A","5","16"
"1320","5","16"
"0420","4","18"
"0320","4","18"
"5002","3","20"
"051A","3","20"
"5011","3","20"
"2014","3","20"
"1821","2","24"
"0620","2","24"
"1365","2","24"
"2825","2","24"
"502P","2","24"
"2028","2","24"
"0910","2","24"
"1563","2","24"
"1121","2","24"
"143A","2","24"
"1812","2","24"
"2022","2","24"
"0497","2","24"
"0440","1","37"
"141A","1","37"
"1360","1","37"
"0520","1","37"
"0330","1","37"
"2023","1","37"
"0496","1","37"
"0841","1","37"
"5007","1","37"
"051B","1","37"
"143B","1","37"
"0554","1","37"
"0850","1","37"
"0890","1","37"
"0454","1","37"
"0530","1","37"
"1330","1","37"
"502R","1","37"
"0110","1","37"
"3731","1","37"
"1020","1","37"
"1460","1","37"
"0325","1","37"
"0485","1","37"
"2025","1","37"
