"unsafearea.address","unsafearea.total_crimes","unsafearea.rank","crime.latitude","crime.longitude"
"037XX W OHIO ST","257","6342","41.891757298","-87.719039208"
"013XX W FULTON ST","124","13572","41.886625743","-87.660317896"
"011XX N KOSTNER AVE","118","14104","41.900977393","-87.736101441"
"121XX S INDIANA AVE","398","3310","41.67402044","-87.617698052"
"007XX W LAKE ST","80","18412","41.885675573","-87.646761991"
"016XX W OGDEN AVE","345","4177","41.879551283","-87.668360502"
"083XX S ESSEX AVE","168","10237","41.743629571","-87.563679729"
"004XX N STATE ST","1298","232","41.890287564","-87.628018708"
"085XX W GREGORY ST","171","10058","41.980160099","-87.839691468"
"030XX W 60TH ST","128","13213","",""
"002XX W 109TH PL","294","5317","41.695245189","-87.629260335"
"018XX W 21ST ST","178","9636","41.85406206","-87.672056607"
"012XX N SPRINGFIELD AVE","565","1615","41.903874342","-87.723904279"
"079XX S DOBSON AVE","606","1400","41.750354371","-87.599095474"
"008XX N MICHIGAN AVE","6859","4","41.898767916","-87.624116333"
"033XX W HURON ST","394","3363","41.893697537","-87.709379324"
"077XX S EAST END AVE","397","3322","41.754270496","-87.583376058"
"036XX W FILLMORE ST","11","39641","41.868097353","-87.716659073"
"001XX E DELAWARE PL","795","774","41.899189017","-87.625650736"
"117XX S LOOMIS ST","175","9827","41.680290894","-87.656600445"
"070XX W ARCHER AVE","187","9163","41.792010022","-87.798302703"
"007XX S SACRAMENTO BLVD","208","8187","41.872460483","-87.700972207"
"018XX E 95TH ST","251","6538","41.722410409","-87.579801505"
"031XX W DEVON AVE","232","7204","41.997421019","-87.707421661"
"118XX S LAFLIN ST","81","18276","41.678699518","-87.658992858"
"090XX S DAUPHIN AVE","282","5648","41.730000924","-87.602708728"
"001XX S CICERO AVE","581","1537","41.878458449","-87.745204753"
"0000X E 104TH ST","178","9636","41.705372982","-87.621441074"
"051XX N KENMORE AVE","178","9636","41.975652642","-87.656395187"
"045XX W VAN BUREN ST","359","3940","41.875109863","-87.738163547"
"020XX W CULLOM AVE","65","20599","41.95961039","-87.680143378"
"002XX N CALIFORNIA AVE","328","4514","",""
"008XX N WOOD ST","176","9746","41.897079016","-87.672208049"
"027XX W 59TH ST","512","2047","41.786418766","-87.692941265"
"056XX S MAY ST","554","1693","41.791593447","-87.653593819"
"009XX N WOOD ST","323","4603","41.89805065","-87.672238432"
"075XX N PAULINA ST","293","5334","42.018498254","-87.672983233"
"0000X E HARRISON ST","274","5855","41.874418481","-87.625483451"
"0000X W HUBBARD ST","1674","108","41.890057206","-87.628491342"
"064XX S KENWOOD AVE","551","1719","41.778073904","-87.593016011"
"014XX W 83RD ST","288","5485","41.743118251","-87.660133067"
"012XX W RANDOLPH ST","248","6636","41.884335057","-87.658109159"
"030XX S KENNETH AVE","138","12319","41.837729169","-87.735306406"
"007XX N LOREL AVE","694","1071","41.893946946","-87.759298803"
"034XX W WALNUT ST","862","641","41.885456607","-87.712423144"
"045XX W MONTANA ST","126","13389","41.925320874","-87.740217937"
"006XX E 89TH PL","190","9026","41.732023819","-87.608829726"
"071XX S CHAMPLAIN AVE","477","2349","41.765171905","-87.609208347"
"054XX W HIGGINS AVE","111","14772","41.969220006","-87.763492122"
"035XX N MARSHFIELD AVE","61","21288","41.945886349","-87.670049883"
"019XX N ASHLAND AVE","52","22977","41.916773447","-87.667772148"
"062XX N WESTERN AVE","557","1680","41.994919627","-87.689792154"
"034XX W BERTEAU AVE","153","11239","41.957469866","-87.714820226"
"058XX S INDIANA AVE","367","3775","41.788476827","-87.620683729"
"115XX S ABERDEEN ST","171","10058","41.684197473","-87.649417041"
"014XX N LAWNDALE AVE","158","10877","41.906900511","-87.719132842"
"010XX E 100TH PL","133","12764","41.711871518","-87.599192975"
"043XX W ADAMS ST","677","1123","41.87787437","-87.734142794"
"062XX S DR MARTIN LUTHER KING JR DR","1956","70","41.781540907","-87.615656827"
"062XX W GRAND AVE","157","10943","41.921745052","-87.782051992"
"037XX N BELL AVE","91","17022","41.949172474","-87.684686947"
"0000X W 35TH ST","277","5782","41.831001351","-87.627224232"
"012XX W 32ND ST","68","20151","41.836086759","-87.656910207"
"024XX W JACKSON BLVD","535","1842","41.877529459","-87.68820629"
"077XX S CHAMPLAIN AVE","176","9746","41.754003651","-87.608938087"
"002XX S WACKER DR","1009","451","41.878630716","-87.636673298"
"078XX S PAULINA ST","636","1263","41.751447908","-87.665894977"
"068XX S ST LAWRENCE AVE","230","7275","41.770520718","-87.610544874"
"009XX W 77TH ST","220","7688","41.754220012","-87.648238066"
"111XX S MICHIGAN AVE","1410","179","41.692378887","-87.621046145"
"040XX W ARTHINGTON ST","473","2398","41.870016119","-87.726028701"
"078XX S DAMEN AVE","190","9026","41.751596998","-87.673175304"
"0000X W 103RD ST","442","2733","41.707160552","-87.623823775"
"023XX N CLARK ST","921","563","41.924706904","-87.63993142"
"034XX W 63RD ST","614","1362","41.778877155","-87.708840106"
"020XX S MICHIGAN AVE","1020","433","41.855190551","-87.623871195"
"010XX N DEARBORN ST","385","3497","41.900974199","-87.629903053"
"010XX W CORNELIA AVE","97","16255","41.945361825","-87.655884983"
"010XX W 109TH ST","62","21101","41.695920657","-87.648853466"
"012XX W RANDOLPH SD","1","54276","41.884350397","-87.656985264"
"103XX S MICHIGAN AVE","1146","311","41.706987456","-87.620244029"
"083XX S KINGSTON AVE","297","5236","41.743868433","-87.562467655"
"053XX N ELSTON AVE","181","9472","41.978526568","-87.75708711"
"037XX N PULASKI RD","128","13213","41.948415485","-87.727457669"
"038XX S WENTWORTH AVE","230","7275","41.824621398","-87.631330145"
"051XX W CONCORD PL","275","5832","41.910440254","-87.753919512"
"074XX N SEELEY AVE","267","6039","42.017214104","-87.681648127"
"077XX S KEDZIE AVE","393","3383","41.752996613","-87.702486995"
"042XX W ADAMS ST","793","780","41.877904683","-87.731542756"
"011XX S MASON AVE","535","1842","41.866662389","-87.772943298"
"015XX N SEDGWICK ST","546","1773","",""
"032XX N CENTRAL AVE","451","2621","41.939861026","-87.766543312"
"043XX W GLADYS AVE","803","754","41.87607905","-87.733505972"
"004XX N CLARK ST","586","1507","41.890265219","-87.631089305"
"010XX W MADISON ST","319","4700","",""
"057XX N MERRIMAC AVE","29","29213","41.985159782","-87.784054196"
"039XX W VAN BUREN ST","1215","266","41.875291694","-87.723650826"
"023XX W 23RD ST","154","11164","41.850234223","-87.68415324"
"120XX S PERRY AVE","450","2637","41.675745187","-87.624996177"
"008XX N ST LOUIS AVE","431","2850","41.896441593","-87.713907172"
"037XX W CHICAGO AVE","1809","91","41.895420644","-87.720539406"
"038XX W ADAMS ST","564","1623","41.878030398","-87.721575832"
"0000X W MADISON ST","489","2233","41.882014826","-87.628205173"
"024XX E 77TH ST","338","4311","41.75536643","-87.565654201"
"022XX S CALIFORNIA AVE","452","2611","41.850744647","-87.695416246"
"075XX S UNION AVE","701","1055","41.757243904","-87.641770033"
"026XX E 83RD ST","415","3080","41.744546219","-87.559601358"
"010XX N CLARK ST","644","1237","41.901073698","-87.63136393"
"003XX W 64TH ST","656","1188","41.778099133","-87.633828531"
"022XX W CHICAGO AVE","285","5552","41.895815719","-87.682611972"
"029XX N HAMLIN AVE","219","7730","41.934688259","-87.722159302"
"049XX W ADAMS ST","914","572","41.878561173","-87.748123058"
"045XX S WOODLAWN AVE","238","6981","41.81255052","-87.596892617"
"004XX W DIVERSEY PKWY","489","2233","",""
"058XX S MARSHFIELD AVE","71","19682","41.788362782","-87.665651548"
"004XX E 103RD ST","395","3348","41.707322531","-87.613245456"
"049XX S DAMEN AVE","241","6877","41.803914023","-87.6745751"
"102XX S VAN VLISSINGEN RD","82","18150","41.70918999","-87.568840721"
"080XX S HALSTED ST","590","1484","41.74808565","-87.643968122"
"057XX S WABASH AVE","588","1493","41.790420977","-87.623980798"
"021XX W 50TH ST","165","10421","41.803022253","-87.677954838"
"016XX N WASHTENAW AVE","236","7052","41.910698885","-87.694551457"
"100XX S LAFAYETTE AVE","190","9026","41.711747024","-87.624828137"
"062XX S WOOD ST","421","2992","41.780693231","-87.669093216"
"063XX S ARTESIAN AVE","892","603","41.778656405","-87.684846319"
"012XX N OAKLEY BLVD","53","22771","41.903738601","-87.684599678"
"031XX W WALNUT ST","518","2004","41.885413657","-87.705031022"
"066XX W 63RD ST","114","14463","41.777575376","-87.78787491"
"039XX S CALIFORNIA AVE","299","5186","41.821640022","-87.694622927"
"036XX N HALSTED ST","1287","238","41.948279589","-87.649516667"
"054XX W CONGRESS PKWY","361","3893","41.873875759","-87.760447774"
"056XX S HALSTED ST","291","5396","",""
"039XX N SHERIDAN RD","764","847","41.953885576","-87.65453007"
"045XX S HERMITAGE AVE","462","2516","41.811325368","-87.668692471"
"103XX S PEORIA ST","208","8187","41.706440114","-87.645251832"
"0000X E MONROE ST","1506","148","41.880775433","-87.627029031"
"097XX S WALLACE ST","147","11646","41.716977251","-87.638235094"
"071XX S HALSTED ST","1302","229","41.764449736","-87.64439412"
"001XX S CENTRAL PARK BLVD","114","14463","41.879086409","-87.715837383"
"001XX N LAPORTE AVE","1060","390","41.883436982","-87.749059068"
"035XX W BERTEAU AVE","60","21475","41.957452114","-87.71611086"
"022XX N CLARK ST","427","2918","41.922420841","-87.638548833"
"018XX S MILLARD AVE","286","5531","41.856092287","-87.716344941"
"030XX W ROOSEVELT RD","530","1893","41.866438916","-87.70234588"
"025XX W 50TH ST","127","13301","41.802931007","-87.687036948"
"047XX S LECLAIRE AVE","72","19537","41.806939504","-87.750473569"
"040XX W DICKENS AVE","123","13655","41.918986079","-87.727390746"
"080XX S SPAULDING AVE","103","15606","41.74725702","-87.704763883"
"053XX S ABERDEEN ST","323","4603","41.79692471","-87.652517966"
"0000X W ILLINOIS ST","625","1314","41.890824651","-87.630128275"
"001XX N STATE ST","9528","2","41.885347387","-87.627929824"
"0000X W ILLINOIS ST","625","1314","41.890824651","-87.630128275"
"050XX W CHICAGO AVE","840","684","41.894961752","-87.751010889"
"035XX W GRENSHAW ST","537","1838","41.867264692","-87.713895199"
