"primary_type","_c1","rank"
"THEFT","5423","1"
"DECEPTIVE PRACTICE","529","2"
"CRIMINAL TRESPASS","242","3"
"BATTERY","196","4"
"OTHER OFFENSE","106","5"
"ASSAULT","102","6"
"CRIMINAL DAMAGE","77","7"
"PUBLIC PEACE VIOLATION","58","8"
"ROBBERY","36","9"
"BURGLARY","30","10"
"NARCOTICS","26","11"
"SEX OFFENSE","8","12"
"MOTOR VEHICLE THEFT","8","12"
"CRIM SEXUAL ASSAULT","4","14"
"PROSTITUTION","4","14"
"LIQUOR LAW VIOLATION","3","16"
"INTERFERENCE WITH PUBLIC OFFICER","3","16"
"STALKING","2","18"
"NON-CRIMINAL","1","19"
"WEAPONS VIOLATION","1","19"
